time,open,high,low,close,volume
1704153600000,106.5091665159257,107.50536889421281,105.8907805365046,106.52315558075203,2815138
1704240000000,106.52315558075203,105.78876269204851,104.95122441350577,105.69988697068433,1855044
1704326400000,105.69988697068433,104.46088293447222,103.43328807657363,104.14314982966727,721668
1704412800000,104.14314982966727,104.94348052999285,103.99157391081121,104.36475364617665,2891938
1704672000000,104.36475364617665,104.01708714531276,103.33488479353426,103.62506942344169,1015518
1704758400000,103.62506942344169,101.82105811134474,101.03293839807695,101.34159217168687,1049666
1704844800000,101.34159217168687,99.81413102926435,99.53236258988036,99.77481644803257,2902171
1704931200000,99.77481644803257,102.53711076052159,101.75976229222795,101.77136077839035,1666747
1705017600000,101.77136077839035,101.5458210361868,100.56518893072776,101.0162461213958,1910781
1705276800000,101.0162461213958,102.60461861263045,101.95938732035879,102.37854650217334,1088665
1705363200000,102.37854650217334,102.15063380286517,101.75501027518463,101.99157640725294,1078979
1705449600000,101.99157640725294,104.04356691493466,103.12569857451503,103.55968992052728,2559417
1705536000000,103.55968992052728,105.33977404403734,104.86154147891598,105.06192349032008,2908359
1705622400000,105.06192349032008,104.10796115178013,103.39281790130535,104.07346465485712,1116070
1705881600000,104.07346465485712,101.83593655707537,101.25016805129391,101.64275520365393,2332760
1705968000000,101.64275520365393,99.8385285541923,98.739379351124,99.37207173340502,2675495
1706054400000,99.37207173340502,98.75849929299919,98.33893895312076,98.45745734152217,2942367
1706140800000,98.45745734152217,101.09166483171364,100.126497995579,100.73926928033778,1422996
1706227200000,100.73926928033778,100.65609096241977,99.41894794466036,100.29332223391495,2367322
1706486400000,100.29332223391495,100.73759898310982,100.35241067454528,100.51827287447884,1094571
1706572800000,100.51827287447884,102.41591593828872,102.07765436183006,102.14064206008887,2656719
1706659200000,102.14064206008887,102.74845376323702,101.93902341275479,102.32693191945297,2906302
1706745600000,102.32693191945297,102.64988395271477,102.00228699183336,102.47128375099685,2526091
1706832000000,102.47128375099685,103.51863187160069,102.82026388511177,103.28818055480899,2834930
1707091200000,103.28818055480899,103.77749359322559,103.36140093934749,103.69799056847033,1690334
1707177600000,103.69799056847033,103.72503657551927,103.51218503397664,103.62606509675628,1829611
1707264000000,103.62606509675628,103.43106815012946,102.46451103813989,102.78074665007837,1216079
1707350400000,102.78074665007837,103.2559207221368,102.82841721064075,102.92894278508608,1512968
1707436800000,102.92894278508608,104.567309168092,104.22162476713159,104.33215222565438,1454227
1707696000000,104.33215222565438,106.62950225926389,106.41487285658471,106.61536278781799,749465
1707782400000,106.61536278781799,107.24520327942068,107.01578527603652,107.04260463131517,2821741
1707868800000,107.04260463131517,108.12919401872662,107.83794109559057,108.06613891143499,1831142
